alternative,value,rank,size,iteration,custom_id,alternative_of_interest,starting_id,type,n_alternatives
1,0.75,1,100,0,1,False,2,UM50,9
0,0.712042297979798,2,100,0,2,True,2,UM50,9
8,0.5395622895622895,3,100,0,3,False,2,UM50,9
6,0.5387205387205387,4,100,0,4,False,2,UM50,9
2,0.42476851851851855,5,100,0,5,False,2,UM50,9
3,0.3737373737373737,6,100,0,6,False,2,UM50,9
7,0.32523148148148145,7,100,0,7,False,2,UM50,9
5,0.31439393939393945,8,100,0,8,False,2,UM50,9
4,0.05516098484848486,9,100,0,9,False,2,UM50,9
0,0.7745966361712722,1,109,10,2,True,2,UM50,9
1,0.6707727072310404,2,109,10,1,False,2,UM50,9
8,0.5349311191484357,3,109,10,3,False,2,UM50,9
6,0.464722829377837,4,109,10,4,False,2,UM50,9
2,0.37579597284299116,5,109,10,5,False,2,UM50,9
3,0.33428973956019065,6,109,10,6,False,2,UM50,9
7,0.32793169036479436,7,109,10,7,False,2,UM50,9
5,0.26071714743589747,8,109,10,8,False,2,UM50,9
4,0.05408623216106013,9,109,10,9,False,2,UM50,9
0,0.7918004828483612,1,119,20,2,True,2,UM50,9
1,0.6543667608286253,2,119,20,1,False,2,UM50,9
8,0.5310821576336957,3,119,20,3,False,2,UM50,9
6,0.45462675181889106,4,119,20,4,False,2,UM50,9
2,0.3861779556184301,5,119,20,5,False,2,UM50,9
7,0.3301736201400168,6,119,20,7,False,2,UM50,9
3,0.3272097603689983,7,119,20,6,False,2,UM50,9
5,0.25465549021944056,8,119,20,8,False,2,UM50,9
4,0.0606772418135205,9,119,20,9,False,2,UM50,9
0,0.803600132523608,1,129,30,2,True,2,UM50,9
1,0.6458812040441176,2,129,30,1,False,2,UM50,9
8,0.5278330273357813,3,129,30,3,False,2,UM50,9
6,0.4490666809040527,4,129,30,4,False,2,UM50,9
2,0.39197801651961783,5,129,30,5,False,2,UM50,9
7,0.3320645192650959,6,129,30,7,False,2,UM50,9
3,0.32271665264177885,7,129,30,6,False,2,UM50,9
5,0.2517578921868625,8,129,30,8,False,2,UM50,9
4,0.06513160882994187,9,129,30,9,False,2,UM50,9
0,0.8132404396658509,1,139,40,2,True,2,UM50,9
1,0.6402064119455424,2,139,40,1,False,2,UM50,9
8,0.5250539064546682,3,139,40,3,False,2,UM50,9
6,0.4450962430640069,4,139,40,4,False,2,UM50,9
2,0.3961527069904179,5,139,40,5,False,2,UM50,9
7,0.33368063495860234,6,139,40,7,False,2,UM50,9
3,0.31926771334120135,7,139,40,6,False,2,UM50,9
5,0.24986649335993388,8,139,40,8,False,2,UM50,9
4,0.06864845856234268,9,139,40,9,False,2,UM50,9
0,0.8216086029630975,1,149,50,2,True,2,UM50,9
1,0.6359536619953287,2,149,50,1,False,2,UM50,9
8,0.5226498791224652,3,149,50,3,False,2,UM50,9
6,0.44197153249099014,4,149,50,4,False,2,UM50,9
2,0.39945331815528284,5,149,50,5,False,2,UM50,9
7,0.3350776524792816,6,149,50,7,False,2,UM50,9
3,0.3164402997869386,7,149,50,6,False,2,UM50,9
5,0.2484612314103952,8,149,50,8,False,2,UM50,9
4,0.07157563111317305,9,149,50,9,False,2,UM50,9
0,0.8290763486770131,1,159,60,2,True,2,UM50,9
1,0.6325652689873418,2,159,60,1,False,2,UM50,9
8,0.5205499488079567,3,159,60,3,False,2,UM50,9
6,0.43939186422670473,4,159,60,4,False,2,UM50,9
2,0.40218602250773666,5,159,60,5,False,2,UM50,9
7,0.3362971836970468,6,159,60,7,False,2,UM50,9
3,0.31404623904961193,7,159,60,6,False,2,UM50,9
5,0.24734485508169496,8,159,60,8,False,2,UM50,9
4,0.07407739344900115,9,159,60,9,False,2,UM50,9
