alternative,value,rank,size,iteration,custom_id,alternative_of_interest,starting_id,type,n_alternatives
4,0.76,1,100,0,1,False,2,UM50,6
1,0.4000000000000001,2,100,0,2,True,2,UM50,6
3,0.35000000000000003,3,100,0,3,False,2,UM50,6
5,0.32,4,100,0,4,False,2,UM50,6
2,0.26666666666666666,5,100,0,5,False,2,UM50,6
0,0.15000000000000002,6,100,0,6,False,2,UM50,6
1,0.86,1,105,6,2,True,2,UM50,6
4,0.6,2,105,6,1,False,2,UM50,6
3,0.32,3,105,6,3,False,2,UM50,6
5,0.32,3,105,6,4,False,2,UM50,6
2,0.25,5,105,6,5,False,2,UM50,6
0,0.17500000000000002,6,105,6,6,False,2,UM50,6
1,1.0,1,111,12,2,True,2,UM50,6
4,0.6,2,111,12,1,False,2,UM50,6
3,0.32,3,111,12,3,False,2,UM50,6
5,0.28,4,111,12,4,False,2,UM50,6
2,0.25,5,111,12,5,False,2,UM50,6
0,0.2,6,111,12,6,False,2,UM50,6
1,1.0,1,117,18,2,True,2,UM50,6
4,0.6,2,117,18,1,False,2,UM50,6
3,0.32,3,117,18,3,False,2,UM50,6
5,0.28,4,117,18,4,False,2,UM50,6
2,0.25,5,117,18,5,False,2,UM50,6
0,0.2,6,117,18,6,False,2,UM50,6
1,1.0,1,123,24,2,True,2,UM50,6
4,0.6,2,123,24,1,False,2,UM50,6
3,0.32,3,123,24,3,False,2,UM50,6
5,0.28,4,123,24,4,False,2,UM50,6
2,0.25,5,123,24,5,False,2,UM50,6
0,0.2,6,123,24,6,False,2,UM50,6
1,1.0,1,129,30,2,True,2,UM50,6
4,0.6,2,129,30,1,False,2,UM50,6
3,0.32,3,129,30,3,False,2,UM50,6
5,0.28,4,129,30,4,False,2,UM50,6
2,0.25,5,129,30,5,False,2,UM50,6
0,0.2,6,129,30,6,False,2,UM50,6
1,1.0,1,135,36,2,True,2,UM50,6
4,0.6,2,135,36,1,False,2,UM50,6
3,0.32,3,135,36,3,False,2,UM50,6
5,0.28,4,135,36,4,False,2,UM50,6
2,0.25,5,135,36,5,False,2,UM50,6
0,0.2,6,135,36,6,False,2,UM50,6
1,1.0,1,141,42,2,True,2,UM50,6
4,0.6,2,141,42,1,False,2,UM50,6
3,0.32,3,141,42,3,False,2,UM50,6
5,0.28,4,141,42,4,False,2,UM50,6
2,0.25,5,141,42,5,False,2,UM50,6
0,0.2,6,141,42,6,False,2,UM50,6
1,1.0,1,147,48,2,True,2,UM50,6
4,0.6,2,147,48,1,False,2,UM50,6
3,0.32,3,147,48,3,False,2,UM50,6
5,0.28,4,147,48,4,False,2,UM50,6
2,0.25,5,147,48,5,False,2,UM50,6
0,0.2,6,147,48,6,False,2,UM50,6
1,1.0,1,153,54,2,True,2,UM50,6
4,0.6,2,153,54,1,False,2,UM50,6
3,0.32,3,153,54,3,False,2,UM50,6
5,0.28,4,153,54,4,False,2,UM50,6
2,0.25,5,153,54,5,False,2,UM50,6
0,0.2,6,153,54,6,False,2,UM50,6
1,1.0,1,159,60,2,True,2,UM50,6
4,0.6,2,159,60,1,False,2,UM50,6
3,0.32,3,159,60,3,False,2,UM50,6
5,0.28,4,159,60,4,False,2,UM50,6
2,0.25,5,159,60,5,False,2,UM50,6
0,0.2,6,159,60,6,False,2,UM50,6
1,1.0,1,165,66,2,True,2,UM50,6
4,0.6,2,165,66,1,False,2,UM50,6
3,0.32,3,165,66,3,False,2,UM50,6
5,0.28,4,165,66,4,False,2,UM50,6
2,0.25,5,165,66,5,False,2,UM50,6
0,0.2,6,165,66,6,False,2,UM50,6
1,1.0,1,171,72,2,True,2,UM50,6
4,0.6,2,171,72,1,False,2,UM50,6
3,0.32,3,171,72,3,False,2,UM50,6
5,0.28,4,171,72,4,False,2,UM50,6
2,0.25,5,171,72,5,False,2,UM50,6
0,0.2,6,171,72,6,False,2,UM50,6
1,1.0,1,177,78,2,True,2,UM50,6
4,0.6,2,177,78,1,False,2,UM50,6
3,0.32,3,177,78,3,False,2,UM50,6
5,0.28,4,177,78,4,False,2,UM50,6
2,0.25,5,177,78,5,False,2,UM50,6
0,0.2,6,177,78,6,False,2,UM50,6
1,1.0,1,183,84,2,True,2,UM50,6
4,0.6,2,183,84,1,False,2,UM50,6
3,0.32,3,183,84,3,False,2,UM50,6
5,0.28,4,183,84,4,False,2,UM50,6
2,0.25,5,183,84,5,False,2,UM50,6
0,0.2,6,183,84,6,False,2,UM50,6
1,1.0,1,189,90,2,True,2,UM50,6
4,0.6,2,189,90,1,False,2,UM50,6
3,0.32,3,189,90,3,False,2,UM50,6
5,0.28,4,189,90,4,False,2,UM50,6
2,0.25,5,189,90,5,False,2,UM50,6
0,0.2,6,189,90,6,False,2,UM50,6
1,1.0,1,195,96,2,True,2,UM50,6
4,0.6,2,195,96,1,False,2,UM50,6
3,0.32,3,195,96,3,False,2,UM50,6
5,0.28,4,195,96,4,False,2,UM50,6
2,0.25,5,195,96,5,False,2,UM50,6
0,0.2,6,195,96,6,False,2,UM50,6
4,0.7250000000000001,1,100,0,1,False,2,UM50,6
5,0.6,2,100,0,2,True,2,UM50,6
2,0.5,3,100,0,3,False,2,UM50,6
1,0.3333333333333333,4,100,0,4,False,2,UM50,6
3,0.22499999999999998,5,100,0,5,False,2,UM50,6
0,0.19999999999999998,6,100,0,6,False,2,UM50,6
5,1.0,1,105,6,2,True,2,UM50,6
4,0.575,2,105,6,1,False,2,UM50,6
2,0.44000000000000006,3,105,6,3,False,2,UM50,6
1,0.3333333333333333,4,105,6,4,False,2,UM50,6
3,0.22499999999999998,5,105,6,5,False,2,UM50,6
0,0.2,6,105,6,6,False,2,UM50,6
5,1.0,1,111,12,2,True,2,UM50,6
4,0.575,2,111,12,1,False,2,UM50,6
2,0.44000000000000006,3,111,12,3,False,2,UM50,6
1,0.3333333333333333,4,111,12,4,False,2,UM50,6
3,0.22499999999999998,5,111,12,5,False,2,UM50,6
0,0.2,6,111,12,6,False,2,UM50,6
5,1.0,1,117,18,2,True,2,UM50,6
4,0.575,2,117,18,1,False,2,UM50,6
2,0.44000000000000006,3,117,18,3,False,2,UM50,6
1,0.3333333333333333,4,117,18,4,False,2,UM50,6
3,0.22499999999999998,5,117,18,5,False,2,UM50,6
0,0.2,6,117,18,6,False,2,UM50,6
5,1.0,1,123,24,2,True,2,UM50,6
4,0.575,2,123,24,1,False,2,UM50,6
2,0.44000000000000006,3,123,24,3,False,2,UM50,6
1,0.3333333333333333,4,123,24,4,False,2,UM50,6
3,0.22499999999999998,5,123,24,5,False,2,UM50,6
0,0.2,6,123,24,6,False,2,UM50,6
5,1.0,1,129,30,2,True,2,UM50,6
4,0.575,2,129,30,1,False,2,UM50,6
