alternative,value,rank,size,iteration,custom_id,alternative_of_interest,starting_id,type,n_alternatives
0,0.4358590210925863,1,100,0,1,False,2,IC,10
9,0.4334952743763987,2,100,0,2,True,2,IC,10
1,0.43025470575396096,3,100,0,3,False,2,IC,10
5,0.4242745856722846,4,100,0,4,False,2,IC,10
4,0.40713953181878026,5,100,0,5,False,2,IC,10
7,0.39757110200331697,6,100,0,6,False,2,IC,10
3,0.39664655366909307,7,100,0,7,False,2,IC,10
2,0.38560129473789523,8,100,0,8,False,2,IC,10
6,0.3832247399976663,9,100,0,9,False,2,IC,10
8,0.36439274239489977,10,100,0,10,False,2,IC,10
9,0.4658578406937527,1,105,6,2,True,2,IC,10
1,0.42635489721985587,2,105,6,3,False,2,IC,10
0,0.4247983060235171,3,105,6,1,False,2,IC,10
5,0.4070404840228274,4,105,6,4,False,2,IC,10
2,0.39869677793325153,5,105,6,8,False,2,IC,10
4,0.3896807541728836,6,105,6,5,False,2,IC,10
3,0.3863012662951617,7,105,6,7,False,2,IC,10
6,0.3836706189185084,8,105,6,9,False,2,IC,10
8,0.38327089499847855,9,105,6,10,False,2,IC,10
7,0.38018948586414025,10,105,6,6,False,2,IC,10
9,0.49466884512595644,1,111,12,2,True,2,IC,10
1,0.42325757426019917,2,111,12,3,False,2,IC,10
0,0.4155833550991374,3,111,12,1,False,2,IC,10
2,0.4095371471783249,4,111,12,8,False,2,IC,10
8,0.3986539117997131,5,111,12,10,False,2,IC,10
5,0.3928245908758358,6,111,12,4,False,2,IC,10
6,0.3841095317292373,7,111,12,9,False,2,IC,10
3,0.37778788817579934,8,111,12,7,False,2,IC,10
4,0.37539075083302437,9,111,12,5,False,2,IC,10
7,0.3658168760445062,10,111,12,6,False,2,IC,10
9,0.5204903817867392,1,117,18,2,True,2,IC,10
1,0.42073746164018827,2,117,18,3,False,2,IC,10
2,0.4186681378004723,3,117,18,8,False,2,IC,10
8,0.41142936100981564,4,117,18,10,False,2,IC,10
0,0.40778379186432806,5,117,18,1,False,2,IC,10
6,0.38451362925066096,6,117,18,9,False,2,IC,10
5,0.38088439590666295,7,117,18,4,False,2,IC,10
3,0.370645942917303,8,117,18,7,False,2,IC,10
4,0.3634647464505413,9,117,18,5,False,2,IC,10
7,0.3537180681071836,10,117,18,6,False,2,IC,10
9,0.5437704109454516,1,123,24,2,True,2,IC,10
2,0.42647123525251085,2,123,24,8,False,2,IC,10
8,0.4222073432045782,3,123,24,10,False,2,IC,10
1,0.41864698935392164,4,123,24,3,False,2,IC,10
0,0.40109433526646376,5,123,24,1,False,2,IC,10
6,0.3848749014643144,6,123,24,9,False,2,IC,10
5,0.3707051927806218,7,123,24,4,False,2,IC,10
3,0.36455976837508935,8,123,24,7,False,2,IC,10
4,0.35335197194485685,9,123,24,5,False,2,IC,10
7,0.3433825552491891,10,123,24,6,False,2,IC,10
9,0.5648706534290133,1,129,30,2,True,2,IC,10
2,0.43322138588253895,2,129,30,8,False,2,IC,10
8,0.43142130446989335,3,129,30,10,False,2,IC,10
1,0.41688526765772965,4,129,30,3,False,2,IC,10
0,0.395292175536507,5,129,30,1,False,2,IC,10
6,0.3851935467217329,6,129,30,9,False,2,IC,10
5,0.36191828287800476,7,129,30,4,False,2,IC,10
3,0.35930523538371006,8,129,30,7,False,2,IC,10
4,0.3446621112673951,9,129,30,5,False,2,IC,10
7,0.3344439949635955,10,129,30,6,False,2,IC,10
9,0.5840866024604809,1,135,36,2,True,2,IC,10
8,0.43938775741713165,2,135,36,10,False,2,IC,10
2,0.4391219100068207,3,135,36,8,False,2,IC,10
1,0.4153808728163648,4,135,36,3,False,2,IC,10
0,0.3902107405543131,5,135,36,1,False,2,IC,10
6,0.3854729604882245,6,135,36,9,False,2,IC,10
3,0.35471849691601026,7,135,36,7,False,2,IC,10
5,0.3542522472719241,8,135,36,4,False,2,IC,10
4,0.3371104509361025,9,135,36,5,False,2,IC,10
7,0.3266322206552329,10,135,36,6,False,2,IC,10
9,0.6016621584208435,1,141,42,2,True,2,IC,10
8,0.4463432600959607,2,141,42,10,False,2,IC,10
2,0.44432649702918825,3,141,42,8,False,2,IC,10
1,0.4140817571520937,4,141,42,3,False,2,IC,10
0,0.38572291854447616,5,141,42,1,False,2,IC,10
6,0.38571753709326273,6,141,42,9,False,2,IC,10
3,0.3506767947130645,7,141,42,7,False,2,IC,10
5,0.34750261495625057,8,141,42,4,False,2,IC,10
4,0.33048419443492977,9,141,42,5,False,2,IC,10
7,0.31974334838028445,10,141,42,6,False,2,IC,10
9,0.617800514033455,1,147,48,2,True,2,IC,10
8,0.4524681754837624,2,147,48,10,False,2,IC,10
2,0.4489535450093457,3,147,48,8,False,2,IC,10
1,0.4129490581098207,4,147,48,3,False,2,IC,10
6,0.38593171676717236,5,147,48,9,False,2,IC,10
0,0.3817299727868036,6,147,48,1,False,2,IC,10
3,0.3470862054271291,7,147,48,7,False,2,IC,10
5,0.34151227315329624,8,147,48,4,False,2,IC,10
4,0.3246209571399849,9,147,48,5,False,2,IC,10
7,0.31362045107708564,10,147,48,6,False,2,IC,10
9,0.6326723735759621,1,153,54,2,True,2,IC,10
8,0.45790242455319813,2,153,54,10,False,2,IC,10
2,0.45309578796875116,3,153,54,8,False,2,IC,10
1,0.41195314991368553,4,153,54,3,False,2,IC,10
6,0.38611959774891,5,153,54,9,False,2,IC,10
0,0.37815400873801625,6,153,54,1,False,2,IC,10
3,0.3438735542216045,7,153,54,7,False,2,IC,10
5,0.336158411562823,8,153,54,4,False,2,IC,10
4,0.31939457799773,9,153,54,5,False,2,IC,10
7,0.30814066393629913,10,153,54,6,False,2,IC,10
9,0.6464222434998859,1,159,60,2,True,2,IC,10
8,0.46275621754952806,2,159,60,10,False,2,IC,10
2,0.45682692658308366,3,159,60,8,False,2,IC,10
1,0.41107104083562973,4,159,60,3,False,2,IC,10
6,0.3862848065455303,5,159,60,9,False,2,IC,10
0,0.3749327286137196,6,159,60,1,False,2,IC,10
3,0.34098092400412405,7,159,60,7,False,2,IC,10
5,0.33134358209094134,8,159,60,4,False,2,IC,10
4,0.3147054896736264,9,159,60,5,False,2,IC,10
7,0.3032063436549522,10,159,60,6,False,2,IC,10
9,0.659173306076879,1,165,66,2,True,2,IC,10
8,0.4671175389231921,2,165,66,10,False,2,IC,10
2,0.460206298487539,3,165,66,8,False,2,IC,10
1,0.41028460780969267,4,165,66,3,False,2,IC,10
6,0.38643048402652375,5,165,66,9,False,2,IC,10
0,0.3720156996338908,6,165,66,1,False,2,IC,10
3,0.33836183320017504,7,165,66,7,False,2,IC,10
5,0.326989430272669,8,165,66,4,False,2,IC,10
4,0.31047401957980175,9,165,66,5,False,2,IC,10
7,0.298738861847623,10,165,66,6,False,2,IC,10
9,0.6710312372891647,1,171,72,2,True,2,IC,10
8,0.47105747758330657,2,171,72,10,False,2,IC,10
2,0.4632822337305289,3,171,72,8,False,2,IC,10
1,0.40957936885758944,4,171,72,3,False,2,IC,10
6,0.38655932036051976,5,171,72,9,False,2,IC,10
0,0.3693616482408314,6,171,72,1,False,2,IC,10
3,0.3359785161781066,7,171,72,7,False,2,IC,10
5,0.3230322075477115,8,171,72,4,False,2,IC,10
4,0.3066356278142805,9,171,72,5,False,2,IC,10
7,0.2946741560826992,10,171,72,6,False,2,IC,10
9,0.6820872280374811,1,177,78,2,True,2,IC,10
8,0.47463409340224477,2,177,78,10,False,2,IC,10
2,0.4660945086288178,3,177,78,8,False,2,IC,10
1,0.40894361064639817,4,177,78,3,False,2,IC,10
6,0.38667360724967187,5,177,78,9,False,2,IC,10
0,0.3669364647107669,6,177,78,1,False,2,IC,10
3,0.333799950356574,7,177,78,7,False,2,IC,10
5,0.31941949858874363,8,177,78,4,False,2,IC,10
4,0.3031374564825937,9,177,78,5,False,2,IC,10
7,0.2909594814061739,10,177,78,6,False,2,IC,10
9,0.6924203971528089,1,183,84,2,True,2,IC,10
8,0.47789526858132525,2,183,84,10,False,2,IC,10
2,0.4686761690550758,3,183,84,8,False,2,IC,10
1,0.40836775635409645,4,183,84,3,False,2,IC,10
6,0.38677529291851015,5,183,84,9,False,2,IC,10
0,0.3647117091085593,6,183,84,1,False,2,IC,10
3,0.33180040002845873,7,183,84,7,False,2,IC,10
5,0.31610779500989666,8,183,84,4,False,2,IC,10
4,0.2999357861622722,9,183,84,5,False,2,IC,10
7,0.28755099901421505,10,183,84,6,False,2,IC,10
9,0.7020997351424407,1,189,90,2,True,2,IC,10
8,0.4808808418494031,2,189,90,10,False,2,IC,10
2,0.471054904803367,3,189,90,8,False,2,IC,10
1,0.40784389971373336,4,189,90,3,False,2,IC,10
6,0.3868660335420224,5,189,90,9,False,2,IC,10
0,0.36266347716557074,6,189,90,1,False,2,IC,10
3,0.3299583247663262,7,189,90,7,False,2,IC,10
5,0.31306066969040813,8,189,90,4,False,2,IC,10
4,0.2969941320416494,9,189,90,5,False,2,IC,10
7,0.28441195964303967,10,189,90,6,False,2,IC,10
9,0.7111856823051537,1,195,96,2,True,2,IC,10
8,0.4836242274846596,2,195,96,10,False,2,IC,10
2,0.47325409916938316,3,195,96,8,False,2,IC,10
1,0.4073654562247445,4,195,96,3,False,2,IC,10
6,0.3869472387650991,5,195,96,9,False,2,IC,10
0,0.36077152858577566,6,195,96,1,False,2,IC,10
3,0.32825554959699715,7,195,96,7,False,2,IC,10
5,0.3102473844958887,8,195,96,4,False,2,IC,10
4,0.29428179898227697,9,195,96,5,False,2,IC,10
7,0.28151131657004774,10,195,96,6,False,2,IC,10
0,0.44579508721856403,1,100,0,1,False,2,IC,10
5,0.4344010894701882,2,100,0,2,True,2,IC,10
9,0.4261942657834404,3,100,0,3,False,2,IC,10
2,0.4146035419632244,4,100,0,4,False,2,IC,10
8,0.41429596513697786,5,100,0,5,False,2,IC,10
7,0.4044824287577118,6,100,0,6,False,2,IC,10
1,0.40263459828889875,7,100,0,7,False,2,IC,10
6,0.39576874237459314,8,100,0,8,False,2,IC,10
3,0.38949406003339976,9,100,0,9,False,2,IC,10
4,0.35420710159885743,10,100,0,10,False,2,IC,10
5,0.46644404468918793,1,105,6,2,True,2,IC,10
0,0.43284883434609545,2,105,6,1,False,2,IC,10
2,0.4302744583671161,3,105,6,4,False,2,IC,10
9,0.4263010174805134,4,105,6,3,False,2,IC,10
6,0.4153122472317967,5,105,6,8,False,2,IC,10
8,0.40380604548609517,6,105,6,5,False,2,IC,10
3,0.3920639620924288,7,105,6,9,False,2,IC,10
7,0.38665210616311463,8,105,6,6,False,2,IC,10
1,0.3856289774700757,9,105,6,7,False,2,IC,10
4,0.33604682547188786,10,105,6,10,False,2,IC,10
5,0.4950361667914989,1,111,12,2,True,2,IC,10
2,0.4429567570943447,2,111,12,4,False,2,IC,10
6,0.4311398650640064,3,111,12,8,False,2,IC,10
9,0.42633709387426444,4,111,12,3,False,2,IC,10
0,0.4222740203601228,5,111,12,1,False,2,IC,10
8,0.3951701130889362,6,111,12,5,False,2,IC,10
3,0.3940479966343737,7,111,12,9,False,2,IC,10
7,0.37210077187622187,8,111,12,6,False,2,IC,10
1,0.37167816708878076,9,111,12,7,False,2,IC,10
4,0.3212505481461129,10,111,12,10,False,2,IC,10
