alternative,value,rank,size,iteration,custom_id,alternative_of_interest,starting_id,type,n_alternatives
4,0.5439041488100691,1,100,0,1,False,2,IC,5
0,0.5427382363986173,2,100,0,2,True,2,IC,5
3,0.49217667257031583,3,100,0,3,False,2,IC,5
2,0.46048919739422356,4,100,0,4,False,2,IC,5
1,0.45833343473880916,5,100,0,5,False,2,IC,5
0,0.5687424655677322,1,105,6,2,True,2,IC,5
4,0.5466628816095217,2,105,6,1,False,2,IC,5
3,0.49511136789776156,3,105,6,3,False,2,IC,5
2,0.44277420450739335,4,105,6,4,False,2,IC,5
1,0.4417564539762971,5,105,6,5,False,2,IC,5
0,0.5919350237889869,1,111,12,2,True,2,IC,5
4,0.5486901046102401,2,111,12,1,False,2,IC,5
3,0.4973353386991553,3,111,12,3,False,2,IC,5
2,0.4281133765021673,4,111,12,4,False,2,IC,5
1,0.42803987390290354,5,111,12,5,False,2,IC,5
0,0.6127503770954416,1,117,18,2,True,2,IC,5
4,0.5501989667680178,2,117,18,1,False,2,IC,5
3,0.49906470002446185,3,117,18,3,False,2,IC,5
1,0.4164831132508804,4,117,18,5,False,2,IC,5
2,0.4157580143800303,5,117,18,4,False,2,IC,5
0,0.6315375331258732,1,123,24,2,True,2,IC,5
4,0.5513321108869722,2,123,24,1,False,2,IC,5
3,0.5004396241843931,3,123,24,3,False,2,IC,5
1,0.40660044017604186,4,123,24,5,False,2,IC,5
2,0.40518974090553994,5,123,24,4,False,2,IC,5
0,0.6485801390711693,1,129,30,2,True,2,IC,5
4,0.5521877612812076,2,129,30,1,False,2,IC,5
3,0.5015540897565716,3,129,30,3,False,2,IC,5
1,0.39804379146178526,4,129,30,5,False,2,IC,5
2,0.396037350916943,5,129,30,4,False,2,IC,5
0,0.6641111449312882,1,135,36,2,True,2,IC,5
4,0.5528352030805197,2,135,36,1,False,2,IC,5
3,0.5024729145679225,3,135,36,3,False,2,IC,5
1,0.39055679373094887,4,135,36,5,False,2,IC,5
2,0.38802748690679595,5,135,36,4,False,2,IC,5
0,0.6783236775545638,1,141,42,2,True,2,IC,5
4,0.5533243231566022,2,141,42,1,False,2,IC,5
3,0.503241916182894,3,141,42,3,False,2,IC,5
1,0.3839461565376593,4,141,42,5,False,2,IC,5
2,0.38095404112001635,5,141,42,4,False,2,IC,5
0,0.6913792236695291,1,147,48,2,True,2,IC,5
4,0.5536916841070765,2,147,48,1,False,2,IC,5
3,0.5038941883608751,3,147,48,3,False,2,IC,5
1,0.3780632084147452,4,147,48,5,False,2,IC,5
2,0.3746584462932551,5,147,48,4,False,2,IC,5
0,0.7034138699434752,1,153,54,2,True,2,IC,5
4,0.5539645002982501,2,153,54,1,False,2,IC,5
3,0.5044540971749768,3,153,54,3,False,2,IC,5
1,0.37279159904269143,4,153,54,5,False,2,IC,5
2,0.36901656580228004,5,153,54,4,False,2,IC,5
0,0.7145431190068527,1,159,60,2,True,2,IC,5
4,0.5541633044740701,2,159,60,1,False,2,IC,5
3,0.5049398934723577,3,159,60,3,False,2,IC,5
1,0.3680388823242452,4,159,60,5,False,2,IC,5
2,0.3639297283489075,5,159,60,4,False,2,IC,5
0,0.7248656474747929,1,165,66,2,True,2,IC,5
4,0.5543037746957385,2,165,66,1,False,2,IC,5
3,0.5053654611920368,3,165,66,3,False,2,IC,5
