alternative,value,rank,size,iteration,custom_id,alternative_of_interest,starting_id,type,n_alternatives
1,0.6368799381084025,1,100,0,1,False,2,IC,4
2,0.540977534351093,2,100,0,2,True,2,IC,4
3,0.5266764194819024,3,100,0,3,False,2,IC,4
0,0.5095362104972053,4,100,0,4,False,2,IC,4
1,0.6305918350447584,1,105,6,1,False,2,IC,4
2,0.5670376346155838,2,105,6,2,True,2,IC,4
3,0.5081885260923726,3,105,6,3,False,2,IC,4
0,0.5064513033357336,4,105,6,4,False,2,IC,4
1,0.6250627317819591,1,111,12,1,False,2,IC,4
2,0.5902732106709263,2,111,12,2,True,2,IC,4
0,0.5037533417242321,3,111,12,4,False,2,IC,4
3,0.4927528119826296,4,111,12,3,False,2,IC,4
1,0.6201609711801475,1,117,18,1,False,2,IC,4
2,0.6111233138352197,2,117,18,2,True,2,IC,4
0,0.5013817890202904,3,117,18,4,False,2,IC,4
3,0.4796523183535446,4,117,18,3,False,2,IC,4
2,0.6299398620490899,1,123,24,2,True,2,IC,4
1,0.6157844183595501,2,123,24,1,False,2,IC,4
0,0.4992862862143908,3,123,24,4,False,2,IC,4
3,0.468382002373599,4,123,24,3,False,2,IC,4
2,0.6470083663786593,1,129,30,2,True,2,IC,4
1,0.6118523546211467,2,129,30,1,False,2,IC,4
0,0.49742521624280817,3,129,30,4,False,2,IC,4
3,0.45857497275012865,4,129,30,3,False,2,IC,4
2,0.6625629772034517,1,135,36,2,True,2,IC,4
1,0.6083000063524518,2,135,36,1,False,2,IC,4
0,0.4957642144836936,3,135,36,4,False,2,IC,4
3,0.44995776225271933,4,135,36,3,False,2,IC,4
2,0.676797595981303,1,141,42,2,True,2,IC,4
1,0.6050747204505293,2,141,42,1,False,2,IC,4
0,0.4942748426014167,3,141,42,4,False,2,IC,4
3,0.44232205221565807,4,141,42,3,False,2,IC,4
2,0.6898742082731125,1,147,48,2,True,2,IC,4
1,0.6021332162460277,2,147,48,1,False,2,IC,4
0,0.49293347727001785,3,147,48,4,False,2,IC,4
3,0.43550615844308793,4,147,48,3,False,2,IC,4
2,0.7019292197600819,1,153,54,2,True,2,IC,4
1,0.5994395665203118,2,153,54,1,False,2,IC,4
0,0.49172040425237357,3,153,54,4,False,2,IC,4
3,0.4293825391993487,4,153,54,3,False,2,IC,4
2,0.7130783343806167,1,159,60,2,True,2,IC,4
1,0.596963686464547,2,159,60,1,False,2,IC,4
0,0.49061908910393753,3,159,60,4,False,2,IC,4
3,0.4238491447867438,4,159,60,3,False,2,IC,4
2,0.7234203529464968,1,165,66,2,True,2,IC,4
1,0.5946801848110695,2,165,66,1,False,2,IC,4
0,0.48961559292267953,3,165,66,4,False,2,IC,4
3,0.41882328990999235,4,165,66,3,False,2,IC,4
2,0.7330401620046453,1,171,72,2,True,2,IC,4
1,0.5925674782818237,2,171,72,1,False,2,IC,4
0,0.48869810459956037,3,171,72,4,False,2,IC,4
3,0.4142372254420668,4,171,72,3,False,2,IC,4
2,0.742011108076141,1,177,78,2,True,2,IC,4
1,0.5906071007063736,2,177,78,1,False,2,IC,4
0,0.4878565656692297,3,177,78,4,False,2,IC,4
3,0.41003488096243496,4,177,78,3,False,2,IC,4
2,0.7503969002912093,1,183,84,2,True,2,IC,4
1,0.5887831581702705,2,183,84,1,False,2,IC,4
0,0.4870823684616788,3,183,84,4,False,2,IC,4
3,0.4061694301804237,4,183,84,3,False,2,IC,4
2,0.7582531475210192,1,189,90,2,True,2,IC,4
1,0.5870818951273732,2,189,90,1,False,2,IC,4
0,0.48636811225024607,3,189,90,4,False,2,IC,4
3,0.4026014451936768,4,189,90,3,False,2,IC,4
2,0.7656286096032091,1,195,96,2,True,2,IC,4
1,0.5854913458074417,2,195,96,1,False,2,IC,4
0,0.4857074053644979,3,195,96,4,False,2,IC,4
3,0.3992974789676336,4,195,96,3,False,2,IC,4
0,0.635940017032454,1,100,0,1,False,2,IC,4
1,0.5474545409403335,2,100,0,2,True,2,IC,4
3,0.5296924340732049,3,100,0,3,False,2,IC,4
2,0.5110399629937444,4,100,0,4,False,2,IC,4
0,0.60661511328178,1,105,6,1,False,2,IC,4
1,0.5730601908379687,2,105,6,2,True,2,IC,4
3,0.529433899079493,3,105,6,3,False,2,IC,4
2,0.5125237884720644,4,105,6,4,False,2,IC,4
1,0.5959203341830039,1,111,12,2,True,2,IC,4
0,0.5825671235009096,2,111,12,1,False,2,IC,4
3,0.5289109613721862,3,111,12,3,False,2,IC,4
2,0.5134387951387103,4,111,12,4,False,2,IC,4
1,0.616454496765954,1,117,18,2,True,2,IC,4
0,0.5624460551843918,2,117,18,1,False,2,IC,4
3,0.5282454254228447,3,117,18,3,False,2,IC,4
2,0.5139754714146195,4,117,18,4,False,2,IC,4
1,0.6350007985832752,1,123,24,2,True,2,IC,4
0,0.5453339468093567,2,123,24,1,False,2,IC,4
3,0.5275089417856292,3,123,24,3,False,2,IC,4
2,0.5142554877692928,4,123,24,4,False,2,IC,4
1,0.6518348012062433,1,129,30,2,True,2,IC,4
0,0.5305832362082362,2,129,30,1,False,2,IC,4
3,0.5267444011167111,3,129,30,3,False,2,IC,4
2,0.5143589348772275,4,129,30,4,False,2,IC,4
1,0.6671833467475587,1,135,36,2,True,2,IC,4
3,0.5259776543227247,2,135,36,3,False,2,IC,4
0,0.5177230229773881,3,135,36,1,False,2,IC,4
2,0.5143398442976261,4,135,36,4,False,2,IC,4
1,0.6812348763329155,1,141,42,2,True,2,IC,4
3,0.5252241984772231,2,141,42,3,False,2,IC,4
2,0.5142354105790738,3,141,42,4,False,2,IC,4
0,0.5064020279237671,4,141,42,1,False,2,IC,4
1,0.6941472310640746,1,147,48,2,True,2,IC,4
3,0.5244931190353727,2,147,48,3,False,2,IC,4
2,0.5140716667184377,3,147,48,4,False,2,IC,4
0,0.49635245598063604,4,147,48,1,False,2,IC,4
1,0.7060536244746771,1,153,54,2,True,2,IC,4
3,0.5237894782428635,2,153,54,3,False,2,IC,4
2,0.5138670828417601,3,153,54,4,False,2,IC,4
0,0.48736630414648996,4,153,54,1,False,2,IC,4
1,0.7170672679684817,1,159,60,2,True,2,IC,4
3,0.5231157947858082,2,159,60,3,False,2,IC,4
2,0.5136349074429243,3,159,60,4,False,2,IC,4
0,0.47927936365348467,4,159,60,1,False,2,IC,4
1,0.7272849910115934,1,165,66,2,True,2,IC,4
3,0.5224729772348696,2,165,66,3,False,2,IC,4
2,0.513384724930854,3,165,66,4,False,2,IC,4
0,0.4719601369125516,4,165,66,1,False,2,IC,4
1,0.7367901021675771,1,171,72,2,True,2,IC,4
3,0.5218609214726522,2,171,72,3,False,2,IC,4
2,0.5131235122571715,3,171,72,4,False,2,IC,4
0,0.46530198454416194,4,171,72,1,False,2,IC,4
1,0.7456546705114282,1,177,78,2,True,2,IC,4
3,0.5212788972689546,2,177,78,3,False,2,IC,4
2,0.5128563681688681,3,177,78,4,False,2,IC,4
0,0.4592174492174492,4,177,78,1,False,2,IC,4
1,0.7539413600000007,1,183,84,2,True,2,IC,4
3,0.520725800294538,2,183,84,3,False,2,IC,4
2,0.5125870242463038,3,183,84,4,False,2,IC,4
0,0.45363407950312135,4,183,84,1,False,2,IC,4
1,0.7617049158033035,1,189,90,2,True,2,IC,4
3,0.5202003170302094,2,189,90,3,False,2,IC,4
2,0.5123182079078094,3,189,90,4,False,2,IC,4
0,0.44849130813168747,4,189,90,1,False,2,IC,4
1,0.7689933773024014,1,195,96,2,True,2,IC,4
3,0.519701032622259,2,195,96,3,False,2,IC,4
2,0.512051903394581,3,195,96,4,False,2,IC,4
