alternative,value,rank,size,iteration,custom_id,alternative_of_interest,starting_id,type,n_alternatives
8,0.9814814814814815,1,100,0,1,False,2,UM10,10
7,0.9691358024691357,2,100,0,2,True,2,UM10,10
5,0.7222222222222222,3,100,0,3,False,2,UM10,10
2,0.4938271604938272,4,100,0,4,False,2,UM10,10
6,0.46913580246913583,5,100,0,5,False,2,UM10,10
0,0.4506172839506173,6,100,0,6,False,2,UM10,10
4,0.4444444444444444,7,100,0,7,False,2,UM10,10
1,0.43827160493827155,8,100,0,8,False,2,UM10,10
9,0.3703703703703704,9,100,0,9,False,2,UM10,10
3,0.35185185185185186,10,100,0,10,False,2,UM10,10
7,1.0,1,109,10,2,True,2,UM10,10
8,0.9444444444444444,2,109,10,1,False,2,UM10,10
5,0.7098765432098765,3,109,10,3,False,2,UM10,10
4,0.4938271604938272,4,109,10,7,False,2,UM10,10
1,0.47530864197530864,5,109,10,8,False,2,UM10,10
2,0.46913580246913583,6,109,10,4,False,2,UM10,10
6,0.4567901234567901,7,109,10,5,False,2,UM10,10
0,0.4506172839506173,8,109,10,6,False,2,UM10,10
3,0.3641975308641976,9,109,10,10,False,2,UM10,10
9,0.345679012345679,10,109,10,9,False,2,UM10,10
7,1.0,1,119,20,2,True,2,UM10,10
8,0.8641975308641975,2,119,20,1,False,2,UM10,10
5,0.6604938271604939,3,119,20,3,False,2,UM10,10
4,0.5185185185185186,4,119,20,7,False,2,UM10,10
1,0.5,5,119,20,8,False,2,UM10,10
2,0.45679012345679015,6,119,20,4,False,2,UM10,10
0,0.4444444444444444,7,119,20,6,False,2,UM10,10
6,0.43209876543209874,8,119,20,5,False,2,UM10,10
3,0.35185185185185186,9,119,20,10,False,2,UM10,10
9,0.345679012345679,10,119,20,9,False,2,UM10,10
7,1.0,1,129,30,2,True,2,UM10,10
8,0.7839506172839505,2,129,30,1,False,2,UM10,10
5,0.6604938271604939,3,129,30,3,False,2,UM10,10
4,0.54320987654321,4,129,30,7,False,2,UM10,10
1,0.4876543209876544,5,129,30,8,False,2,UM10,10
2,0.4444444444444444,6,129,30,4,False,2,UM10,10
0,0.43827160493827155,7,129,30,6,False,2,UM10,10
6,0.43209876543209874,8,129,30,5,False,2,UM10,10
3,0.35185185185185186,9,129,30,10,False,2,UM10,10
9,0.345679012345679,10,129,30,9,False,2,UM10,10
7,1.0,1,139,40,2,True,2,UM10,10
8,0.7345679012345678,2,139,40,1,False,2,UM10,10
5,0.6049382716049383,3,139,40,3,False,2,UM10,10
4,0.5555555555555556,4,139,40,7,False,2,UM10,10
1,0.4876543209876544,5,139,40,8,False,2,UM10,10
2,0.43209876543209874,6,139,40,4,False,2,UM10,10
6,0.43209876543209874,6,139,40,5,False,2,UM10,10
0,0.4259259259259259,8,139,40,6,False,2,UM10,10
3,0.35185185185185186,9,139,40,10,False,2,UM10,10
9,0.345679012345679,10,139,40,9,False,2,UM10,10
7,1.0,1,149,50,2,True,2,UM10,10
8,0.7222222222222222,2,149,50,1,False,2,UM10,10
5,0.5740740740740741,3,149,50,3,False,2,UM10,10
4,0.5555555555555556,4,149,50,7,False,2,UM10,10
1,0.47530864197530864,5,149,50,8,False,2,UM10,10
6,0.43209876543209874,6,149,50,5,False,2,UM10,10
0,0.4259259259259259,7,149,50,6,False,2,UM10,10
2,0.4197530864197531,8,149,50,4,False,2,UM10,10
3,0.3641975308641976,9,149,50,10,False,2,UM10,10
9,0.345679012345679,10,149,50,9,False,2,UM10,10
7,1.0,1,159,60,2,True,2,UM10,10
8,0.7222222222222222,2,159,60,1,False,2,UM10,10
4,0.5555555555555556,3,159,60,7,False,2,UM10,10
5,0.5493827160493827,4,159,60,3,False,2,UM10,10
1,0.47530864197530864,5,159,60,8,False,2,UM10,10
6,0.43209876543209874,6,159,60,5,False,2,UM10,10
2,0.4197530864197531,7,159,60,4,False,2,UM10,10
0,0.41358024691358025,8,159,60,6,False,2,UM10,10
3,0.3641975308641976,9,159,60,10,False,2,UM10,10
9,0.3209876543209877,10,159,60,9,False,2,UM10,10
7,1.0,1,169,70,2,True,2,UM10,10
8,0.7222222222222222,2,169,70,1,False,2,UM10,10
4,0.5555555555555556,3,169,70,7,False,2,UM10,10
5,0.5493827160493827,4,169,70,3,False,2,UM10,10
1,0.47530864197530864,5,169,70,8,False,2,UM10,10
6,0.43209876543209874,6,169,70,5,False,2,UM10,10
2,0.4197530864197531,7,169,70,4,False,2,UM10,10
0,0.41358024691358025,8,169,70,6,False,2,UM10,10
3,0.3641975308641976,9,169,70,10,False,2,UM10,10
9,0.3209876543209877,10,169,70,9,False,2,UM10,10
7,1.0,1,179,80,2,True,2,UM10,10
8,0.7222222222222222,2,179,80,1,False,2,UM10,10
4,0.5555555555555556,3,179,80,7,False,2,UM10,10
5,0.5493827160493827,4,179,80,3,False,2,UM10,10
1,0.47530864197530864,5,179,80,8,False,2,UM10,10
6,0.43209876543209874,6,179,80,5,False,2,UM10,10
2,0.4197530864197531,7,179,80,4,False,2,UM10,10
0,0.4012345679012345,8,179,80,6,False,2,UM10,10
3,0.3641975308641976,9,179,80,10,False,2,UM10,10
9,0.308641975308642,10,179,80,9,False,2,UM10,10
7,1.0,1,189,90,2,True,2,UM10,10
8,0.7222222222222222,2,189,90,1,False,2,UM10,10
5,0.5493827160493827,3,189,90,3,False,2,UM10,10
4,0.54320987654321,4,189,90,7,False,2,UM10,10
1,0.47530864197530864,5,189,90,8,False,2,UM10,10
6,0.43209876543209874,6,189,90,5,False,2,UM10,10
2,0.4197530864197531,7,189,90,4,False,2,UM10,10
0,0.4012345679012345,8,189,90,6,False,2,UM10,10
3,0.3641975308641976,9,189,90,10,False,2,UM10,10
9,0.29629629629629634,10,189,90,9,False,2,UM10,10
7,1.0,1,199,100,2,True,2,UM10,10
8,0.7222222222222222,2,199,100,1,False,2,UM10,10
5,0.5493827160493827,3,199,100,3,False,2,UM10,10
4,0.54320987654321,4,199,100,7,False,2,UM10,10
1,0.47530864197530864,5,199,100,8,False,2,UM10,10
6,0.43209876543209874,6,199,100,5,False,2,UM10,10
2,0.4197530864197531,7,199,100,4,False,2,UM10,10
0,0.4012345679012345,8,199,100,6,False,2,UM10,10
3,0.3641975308641976,9,199,100,10,False,2,UM10,10
9,0.29629629629629634,10,199,100,9,False,2,UM10,10
2,0.8395061728395061,1,100,0,1,False,2,UM10,10
9,0.8209876543209877,2,100,0,2,True,2,UM10,10
0,0.6296296296296297,3,100,0,3,False,2,UM10,10
7,0.5308641975308642,4,100,0,4,False,2,UM10,10
3,0.5123456790123456,5,100,0,5,False,2,UM10,10
6,0.5061728395061729,6,100,0,6,False,2,UM10,10
5,0.4938271604938272,7,100,0,7,False,2,UM10,10
8,0.35185185185185186,8,100,0,8,False,2,UM10,10
1,0.32098765432098764,9,100,0,9,False,2,UM10,10
4,0.28395061728395066,10,100,0,10,False,2,UM10,10
9,0.8703703703703703,1,109,10,2,True,2,UM10,10
2,0.808641975308642,2,109,10,1,False,2,UM10,10
0,0.6049382716049383,3,109,10,3,False,2,UM10,10
3,0.5432098765432098,4,109,10,5,False,2,UM10,10
7,0.5308641975308641,5,109,10,4,False,2,UM10,10
5,0.46913580246913583,6,109,10,7,False,2,UM10,10
6,0.43209876543209874,7,109,10,6,False,2,UM10,10
8,0.3580246913580247,8,109,10,8,False,2,UM10,10
1,0.3271604938271605,9,109,10,9,False,2,UM10,10
4,0.29629629629629634,10,109,10,10,False,2,UM10,10
9,0.9753086419753088,1,119,20,2,True,2,UM10,10
2,0.802469135802469,2,119,20,1,False,2,UM10,10
0,0.5925925925925926,3,119,20,3,False,2,UM10,10
7,0.5308641975308641,4,119,20,4,False,2,UM10,10
3,0.5246913580246912,5,119,20,5,False,2,UM10,10
5,0.46913580246913583,6,119,20,7,False,2,UM10,10
6,0.43209876543209874,7,119,20,6,False,2,UM10,10
8,0.36419753086419754,8,119,20,8,False,2,UM10,10
1,0.3333333333333333,9,119,20,9,False,2,UM10,10
4,0.29629629629629634,10,119,20,10,False,2,UM10,10
9,1.0,1,129,30,2,True,2,UM10,10
2,0.7407407407407407,2,129,30,1,False,2,UM10,10
0,0.5925925925925926,3,129,30,3,False,2,UM10,10
7,0.5308641975308642,4,129,30,4,False,2,UM10,10
3,0.4938271604938272,5,129,30,5,False,2,UM10,10
5,0.46913580246913583,6,129,30,7,False,2,UM10,10
6,0.3888888888888889,7,129,30,6,False,2,UM10,10
8,0.3333333333333333,8,129,30,8,False,2,UM10,10
1,0.3271604938271605,9,129,30,9,False,2,UM10,10
4,0.29629629629629634,10,129,30,10,False,2,UM10,10
9,1.0,1,139,40,2,True,2,UM10,10
2,0.6481481481481483,2,139,40,1,False,2,UM10,10
0,0.5802469135802469,3,139,40,3,False,2,UM10,10
7,0.5308641975308642,4,139,40,4,False,2,UM10,10
5,0.4444444444444444,5,139,40,7,False,2,UM10,10
3,0.41975308641975306,6,139,40,5,False,2,UM10,10
6,0.345679012345679,7,139,40,6,False,2,UM10,10
1,0.3271604938271605,8,139,40,9,False,2,UM10,10
4,0.30864197530864196,9,139,40,10,False,2,UM10,10
8,0.30246913580246915,10,139,40,8,False,2,UM10,10
9,1.0,1,149,50,2,True,2,UM10,10
0,0.5802469135802469,2,149,50,3,False,2,UM10,10
7,0.5308641975308642,3,149,50,4,False,2,UM10,10
2,0.5123456790123456,4,149,50,1,False,2,UM10,10
5,0.4444444444444444,5,149,50,7,False,2,UM10,10
3,0.3950617283950617,6,149,50,5,False,2,UM10,10
6,0.345679012345679,7,149,50,6,False,2,UM10,10
1,0.3271604938271605,8,149,50,9,False,2,UM10,10
4,0.30864197530864196,9,149,50,10,False,2,UM10,10
8,0.29012345679012347,10,149,50,8,False,2,UM10,10
