alternative,value,rank,size,iteration,custom_id,alternative_of_interest,starting_id,type,n_alternatives
0,0.6892581288405814,1,100,0,1,False,2,UM50,10
4,0.6694058955314277,2,100,0,2,True,2,UM50,10
8,0.5900612529476487,3,100,0,3,False,2,UM50,10
1,0.580692960042826,4,100,0,4,False,2,UM50,10
6,0.5561077679872006,5,100,0,5,False,2,UM50,10
9,0.41388245314228755,6,100,0,6,False,2,UM50,10
2,0.3288821565560476,7,100,0,7,False,2,UM50,10
7,0.3077852112757651,8,100,0,8,False,2,UM50,10
3,0.29157522092951527,9,100,0,9,False,2,UM50,10
5,0.21661329478358463,10,100,0,10,False,2,UM50,10
4,0.7109069251249048,1,109,10,2,True,2,UM50,10
0,0.6629016713450561,2,109,10,1,False,2,UM50,10
8,0.5907953618118145,3,109,10,3,False,2,UM50,10
1,0.5539045237046158,4,109,10,4,False,2,UM50,10
6,0.4983542407614483,5,109,10,5,False,2,UM50,10
9,0.3956370605923229,6,109,10,6,False,2,UM50,10
2,0.3178366737467736,7,109,10,7,False,2,UM50,10
3,0.2812607616145961,8,109,10,9,False,2,UM50,10
7,0.27118475879635556,9,109,10,8,False,2,UM50,10
5,0.21754596230525755,10,109,10,10,False,2,UM50,10
4,0.7474753028439686,1,119,20,2,True,2,UM50,10
0,0.6494285104524463,2,119,20,1,False,2,UM50,10
8,0.5920094659645017,3,119,20,3,False,2,UM50,10
1,0.5408511761051608,4,119,20,4,False,2,UM50,10
6,0.49559415886385266,5,119,20,5,False,2,UM50,10
9,0.3860163978402176,6,119,20,6,False,2,UM50,10
2,0.3170178112237747,7,119,20,7,False,2,UM50,10
3,0.27781092533644547,8,119,20,9,False,2,UM50,10
7,0.2664358736299553,9,119,20,8,False,2,UM50,10
5,0.21893442721916356,10,119,20,10,False,2,UM50,10
4,0.7707789947150334,1,129,30,2,True,2,UM50,10
0,0.640978880024171,2,129,30,1,False,2,UM50,10
8,0.5932057327346696,3,129,30,3,False,2,UM50,10
1,0.5327966821736552,4,129,30,4,False,2,UM50,10
6,0.49329496926821825,5,129,30,5,False,2,UM50,10
9,0.3796851691837387,6,129,30,6,False,2,UM50,10
2,0.32416782728661464,7,129,30,7,False,2,UM50,10
3,0.27624912525551565,8,129,30,9,False,2,UM50,10
7,0.2638849104789407,9,129,30,8,False,2,UM50,10
5,0.2194784096020752,10,129,30,10,False,2,UM50,10
4,0.7879042193172027,1,139,40,2,True,2,UM50,10
0,0.6350653866858642,2,139,40,1,False,2,UM50,10
8,0.5942961409758007,3,139,40,3,False,2,UM50,10
1,0.5271897979753688,4,139,40,4,False,2,UM50,10
6,0.49135166965678667,5,139,40,5,False,2,UM50,10
9,0.37504723024757125,6,139,40,6,False,2,UM50,10
2,0.32946708655163287,7,139,40,7,False,2,UM50,10
3,0.2754435655266614,8,139,40,9,False,2,UM50,10
7,0.26248641102513026,9,139,40,8,False,2,UM50,10
5,0.21965080787419974,10,139,40,10,False,2,UM50,10
4,0.8014791046375284,1,149,50,2,True,2,UM50,10
0,0.6306371746952856,2,149,50,1,False,2,UM50,10
8,0.5952704792988636,3,149,50,3,False,2,UM50,10
1,0.5229951603249904,4,149,50,4,False,2,UM50,10
6,0.48968869694353967,5,149,50,5,False,2,UM50,10
9,0.371434264462755,6,149,50,6,False,2,UM50,10
2,0.33365228134210423,7,149,50,7,False,2,UM50,10
3,0.2750020569885604,8,149,50,9,False,2,UM50,10
7,0.261987853236812,9,149,50,8,False,2,UM50,10
5,0.21964294982761634,10,149,50,10,False,2,UM50,10
4,0.8127478824182001,1,159,60,2,True,2,UM50,10
0,0.6271666955778437,2,159,60,1,False,2,UM50,10
8,0.5961374517406179,3,159,60,3,False,2,UM50,10
1,0.5197046643204865,4,159,60,4,False,2,UM50,10
6,0.4882503194044626,5,159,60,5,False,2,UM50,10
9,0.3685066239474412,6,159,60,6,False,2,UM50,10
2,0.33708658649379175,7,159,60,7,False,2,UM50,10
3,0.27475591333232174,8,159,60,9,False,2,UM50,10
7,0.26161489280284767,9,159,60,8,False,2,UM50,10
5,0.21954360785045987,10,159,60,10,False,2,UM50,10
4,0.8223911317216569,1,169,70,2,True,2,UM50,10
0,0.6243566348184376,2,169,70,1,False,2,UM50,10
8,0.596909856218542,3,169,70,3,False,2,UM50,10
1,0.5170357405346918,4,169,70,4,False,2,UM50,10
6,0.48699455462748875,5,169,70,5,False,2,UM50,10
9,0.3660685162496384,6,169,70,6,False,2,UM50,10
2,0.3399778021094597,7,169,70,7,False,2,UM50,10
3,0.2746222375607,8,169,70,9,False,2,UM50,10
7,0.2613175858356661,9,169,70,8,False,2,UM50,10
5,0.21939774126823608,10,169,70,10,False,2,UM50,10
4,0.8308202699760429,1,179,80,2,True,2,UM50,10
0,0.62202493854464,2,179,80,1,False,2,UM50,10
8,0.597600306755028,3,179,80,3,False,2,UM50,10
