perc_rows,number_rows,number_issues,number_agents,profile,RANK(WR),RANK(COP),RANK(STD),RANK(DIV(WR)),RANK(DIV(COP)),"KT(WR,STD)","KT(WR,COP)","KT(WR,RANK(DIV(WR)))","KT(WR,RANK(DIV(COP)))","KT(RANK(DIV(WR)),STD)","KT(RANK(DIV(WR)),COP)","KT(RANK(DIV(WR)),RANK(DIV(COP)))","KT(RANK(DIV(COP)),STD)","KT(RANK(DIV(COP)),COP)","KT(RANK(DIV(COP)),RANK(DIV(WR)))",Robusteness(WR),Robusteness(COP),"Robusteness(DIV,WR)","Robusteness(DIV,COP)"
0.1,2,3,100,0,"[0, 1, 2]","[0, 1, 2]","[2, 0, 1]","[0, 1, 2]","[0, 1, 2]",-0.33333333333333337,1.0,1.0,1.0,-0.33333333333333337,1.0,1.0,-0.33333333333333337,1.0,1.0,1.0,1.0,-1.0,-0.33333333333333337
0.11,2,3,100,0,"[0, 1, 2]","[0, 1, 2]","[2, 0, 1]","[2, 1, 0]","[0, 1, 2]",-0.33333333333333337,1.0,-1.0,1.0,0.33333333333333337,-1.0,-1.0,-0.33333333333333337,1.0,-1.0,1.0,1.0,1.0,-0.33333333333333337
0.12,2,3,100,0,"[0, 1, 2]","[0, 1, 2]","[2, 0, 1]","[2, 1, 0]","[0, 2, 1]",-0.33333333333333337,1.0,-1.0,0.33333333333333337,0.33333333333333337,-1.0,-0.33333333333333337,-1.0,0.33333333333333337,-0.33333333333333337,1.0,1.0,1.0,-0.33333333333333337
0.13,2,3,100,0,"[0, 1, 2]","[0, 1, 2]","[2, 0, 1]","[2, 1, 0]","[2, 0, 1]",-0.33333333333333337,1.0,-1.0,-0.33333333333333337,0.33333333333333337,-1.0,0.33333333333333337,1.0,-0.33333333333333337,0.33333333333333337,1.0,1.0,1.0,1.0
0.1399999999999999,2,3,100,0,"[0, 1, 2]","[0, 1, 2]","[2, 0, 1]","[2, 0, 1]","[2, 0, 1]",-0.33333333333333337,1.0,-0.33333333333333337,-0.33333333333333337,1.0,-0.33333333333333337,1.0,1.0,-0.33333333333333337,1.0,1.0,1.0,1.0,1.0
0.1499999999999999,2,3,100,0,"[0, 1, 2]","[0, 1, 2]","[2, 0, 1]","[2, 1, 0]","[2, 0, 1]",-0.33333333333333337,1.0,-1.0,-0.33333333333333337,0.33333333333333337,-1.0,0.33333333333333337,1.0,-0.33333333333333337,0.33333333333333337,1.0,1.0,1.0,1.0
0.1599999999999999,2,3,100,0,"[0, 1, 2]","[0, 1, 2]","[2, 0, 1]","[2, 1, 0]","[2, 0, 1]",-0.33333333333333337,1.0,-1.0,-0.33333333333333337,0.33333333333333337,-1.0,0.33333333333333337,1.0,-0.33333333333333337,0.33333333333333337,1.0,1.0,1.0,1.0
0.1699999999999999,2,3,100,0,"[0, 1, 2]","[0, 1, 2]","[2, 0, 1]","[2, 1, 0]","[2, 0, 1]",-0.33333333333333337,1.0,-1.0,-0.33333333333333337,0.33333333333333337,-1.0,0.33333333333333337,1.0,-0.33333333333333337,0.33333333333333337,1.0,1.0,1.0,1.0
0.1799999999999999,2,3,100,0,"[0, 1, 2]","[0, 1, 2]","[2, 0, 1]","[2, 1, 0]","[2, 0, 1]",-0.33333333333333337,1.0,-1.0,-0.33333333333333337,0.33333333333333337,-1.0,0.33333333333333337,1.0,-0.33333333333333337,0.33333333333333337,1.0,1.0,1.0,1.0
0.1899999999999999,2,3,100,0,"[0, 1, 2]","[0, 1, 2]","[2, 0, 1]","[2, 1, 0]","[2, 0, 1]",-0.33333333333333337,1.0,-1.0,-0.33333333333333337,0.33333333333333337,-1.0,0.33333333333333337,1.0,-0.33333333333333337,0.33333333333333337,1.0,1.0,1.0,1.0
