alternative,value,rank,size,iteration,custom_id,alternative_of_interest,starting_id,type,n_alternatives
3,0.8528524593743257,1,100,0,1,False,2,UM10,4
1,0.475709057959444,2,100,0,2,True,2,UM10,4
2,0.4610077209714891,3,100,0,3,False,2,UM10,4
0,0.42023181775198,4,100,0,4,False,2,UM10,4
3,0.83590706086883,1,105,6,1,False,2,UM10,4
1,0.5120200161228396,2,105,6,2,True,2,UM10,4
2,0.43996202862690664,3,105,6,3,False,2,UM10,4
0,0.4069194251138883,4,105,6,4,False,2,UM10,4
3,0.8213285324798484,1,111,12,1,False,2,UM10,4
1,0.5423238317787404,2,111,12,2,True,2,UM10,4
2,0.42515675095385236,3,111,12,3,False,2,UM10,4
0,0.3957450981995667,4,111,12,4,False,2,UM10,4
3,0.8086490612932192,1,117,18,1,False,2,UM10,4
1,0.5682699433798527,2,117,18,2,True,2,UM10,4
2,0.4143131295546754,3,117,18,3,False,2,UM10,4
0,0.3862216430770969,4,117,18,4,False,2,UM10,4
3,0.7975175984742805,1,123,24,1,False,2,UM10,4
1,0.5908941315235268,2,123,24,2,True,2,UM10,4
2,0.4061299146569011,3,123,24,3,False,2,UM10,4
0,0.3780010582196834,4,123,24,4,False,2,UM10,4
3,0.7876652568178063,1,129,30,1,False,2,UM10,4
1,0.6108938671020899,2,129,30,2,True,2,UM10,4
2,0.39981107711355485,3,129,30,3,False,2,UM10,4
0,0.3708278184857691,4,129,30,4,False,2,UM10,4
3,0.7788824221155047,1,135,36,1,False,2,UM10,4
1,0.6287639032221075,2,135,36,2,True,2,UM10,4
2,0.394843157503004,3,135,36,3,False,2,UM10,4
0,0.3645098686987296,4,135,36,4,False,2,UM10,4
3,0.7710031663396087,1,141,42,1,False,2,UM10,4
1,0.6448694936739944,2,141,42,2,True,2,UM10,4
2,0.39088074876118356,3,141,42,3,False,2,UM10,4
0,0.35889993673492276,4,141,42,4,False,2,UM10,4
3,0.7638943646645829,1,147,48,1,False,2,UM10,4
1,0.6594888912996173,2,147,48,2,True,2,UM10,4
2,0.3876834279576536,3,147,48,3,False,2,UM10,4
0,0.3538831100548694,4,147,48,4,False,2,UM10,4
3,0.7574479297786375,1,153,54,1,False,2,UM10,4
1,0.6728394866226407,2,153,54,2,True,2,UM10,4
2,0.3850790525040609,3,153,54,3,False,2,UM10,4
0,0.349368348742831,4,153,54,4,False,2,UM10,4
3,0.7515751636708518,1,159,60,1,False,2,UM10,4
1,0.6850946635590057,2,159,60,2,True,2,UM10,4
2,0.3829414054340102,3,159,60,3,False,2,UM10,4
0,0.3452825484671565,4,159,60,4,False,2,UM10,4
3,0.7462025793161043,1,165,66,1,False,2,UM10,4
1,0.6963951040141515,2,165,66,2,True,2,UM10,4
2,0.3811760503452448,3,165,66,3,False,2,UM10,4
0,0.34156629943600764,4,165,66,4,False,2,UM10,4
3,0.7412687625709861,1,171,72,1,False,2,UM10,4
1,0.7068566235599638,2,171,72,2,True,2,UM10,4
2,0.37971108550818694,3,171,72,3,False,2,UM10,4
0,0.3381708000410935,4,171,72,4,False,2,UM10,4
3,0.7367219829895676,1,177,78,1,False,2,UM10,4
1,0.7165757568060501,2,177,78,2,True,2,UM10,4
2,0.37849092880454993,3,177,78,3,False,2,UM10,4
0,0.3350555731630959,4,177,78,4,False,2,UM10,4
3,0.7325183522618892,1,183,84,1,False,2,UM10,4
1,0.7256338354292589,2,183,84,2,True,2,UM10,4
2,0.37747203699941617,3,183,84,3,False,2,UM10,4
0,0.3321867509258144,4,183,84,4,False,2,UM10,4
1,0.7341000281260471,1,189,90,2,True,2,UM10,4
3,0.7286203887430461,2,189,90,1,False,2,UM10,4
2,0.376619893602081,3,189,90,3,False,2,UM10,4
0,0.3295357688473631,4,189,90,4,False,2,UM10,4
1,0.742033648154235,1,195,96,2,True,2,UM10,4
3,0.7249958869910348,2,195,96,1,False,2,UM10,4
2,0.3759068488934157,3,195,96,3,False,2,UM10,4
0,0.32707835936257995,4,195,96,4,False,2,UM10,4
1,0.8070769617125975,1,100,0,1,False,2,UM10,4
2,0.5713953739249537,2,100,0,2,True,2,UM10,4
3,0.4425613861039293,3,100,0,3,False,2,UM10,4
0,0.4392914078909591,4,100,0,4,False,2,UM10,4
1,0.7900955794504182,1,105,6,1,False,2,UM10,4
2,0.5979834577660664,2,105,6,2,True,2,UM10,4
3,0.4474264020550592,3,105,6,3,False,2,UM10,4
0,0.43100632531033606,4,105,6,4,False,2,UM10,4
1,0.7756057407153438,1,111,12,1,False,2,UM10,4
2,0.6213465276010415,2,111,12,2,True,2,UM10,4
3,0.4514661050304623,3,111,12,3,False,2,UM10,4
